EdadJefeHogar,SexoJefeHogar,MiembrosHogar,RatioDependencia,LenguaMaterna,NivelEducativoJefeHogar,TipoEmpleo,AreaResidencia,Region,AccesoAguaPotable,AccesoSaneamiento,Hacinamiento,PoseeActivos,TenenciaVivienda,MaterialParedes,AccesoElectricidad,AniosEstudioJefeHogar,IngresoMensualHogar,GastoMensualHogar,PobrezaMonetaria
54,Hombre,3,1.94,Español,Secundaria,Formal,Urbana,Sierra,1,1,0,1,Alquilada,Madera/Esteras,1,10,3855.64,3002.16,0
51,Mujer,8,2.47,Quechua,Ninguno,Informal,Rural,Sierra,1,1,0,0,Alquilada,Madera/Esteras,1,0,1632.66,1440.7,1
74,Hombre,9,0.4,Español,Superior,Formal,Urbana,Selva,1,1,0,0,Cedida,Ladrillo/Cemento,1,15,5797.2,6904.54,0
75,Mujer,4,1.77,Español,Secundaria,Informal,Rural,Costa,0,1,0,0,Propia,Ladrillo/Cemento,1,8,2174.64,1608.34,0
53,Hombre,6,0.16,Español,Superior,Formal,Rural,Selva,1,1,0,0,Propia,Ladrillo/Cemento,1,14,3218.16,2585.62,0
41,Hombre,1,2.95,Español,Superior,Informal,Urbana,Selva,0,1,1,0,Propia,Adobe,1,18,2562.03,2843.03,0
69,Hombre,1,1.87,Español,Superior,Informal,Urbana,Sierra,1,1,1,0,Propia,Ladrillo/Cemento,1,21,2403.98,2131.58,0
69,Hombre,1,0.79,Español,Ninguno,Informal,Urbana,Sierra,1,1,0,0,Alquilada,Adobe,0,0,1197.24,1110.98,0
33,Hombre,9,0.25,Español,Secundaria,Informal,Urbana,Selva,0,1,1,1,Cedida,Ladrillo/Cemento,1,8,996.29,835.78,1
55,Mujer,9,2.16,Español,Secundaria,Formal,Urbana,Selva,0,1,1,1,Propia,Adobe,1,11,3024.81,2801.34,1
65,Mujer,5,1.16,Aymara,Primaria,Informal,Urbana,Sierra,1,0,1,0,Cedida,Ladrillo/Cemento,1,3,1578.35,1119.18,1
25,Hombre,5,2.11,Español,Secundaria,Formal,Rural,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,11,3722.49,2875.82,0
32,Hombre,1,0.42,Español,Ninguno,Informal,Urbana,Sierra,1,0,1,1,Cedida,Adobe,1,0,1177.52,964.68,0
24,Mujer,5,2.72,Español,Secundaria,Formal,Urbana,Selva,1,1,0,1,Alquilada,Adobe,1,8,3411.81,3776.76,0
48,Mujer,2,0.04,Español,Secundaria,Informal,Rural,Sierra,1,1,0,1,Propia,Madera/Esteras,1,11,529.97,513.23,1
23,Hombre,3,0.84,Quechua,Superior,Informal,Urbana,Costa,1,1,1,0,Cedida,Ladrillo/Cemento,1,18,6538.58,7548.2,0
59,Hombre,3,2.34,Español,Secundaria,Formal,Urbana,Sierra,1,1,0,1,Alquilada,Ladrillo/Cemento,1,9,1690.31,1611.9,0
50,Hombre,3,0.9,Español,Secundaria,Informal,Urbana,Sierra,1,1,1,0,Propia,Adobe,1,7,1450.27,1179.18,0
59,Hombre,7,1.81,Español,Secundaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,10,5664.06,6558.69,0
75,Hombre,7,0.14,Español,Secundaria,Informal,Urbana,Selva,0,1,0,0,Alquilada,Ladrillo/Cemento,1,9,2791.71,2391.01,1
43,Mujer,8,1.55,Español,Primaria,Informal,Urbana,Sierra,1,1,1,0,Propia,Adobe,1,2,810.84,938.64,1
23,Mujer,2,2.54,Español,Primaria,Formal,Urbana,Selva,1,0,1,1,Alquilada,Ladrillo/Cemento,1,2,1677.33,1541.6,0
49,Hombre,7,1.95,Español,Superior,Informal,Urbana,Costa,1,1,1,0,Alquilada,Adobe,1,16,4821.9,4286.27,0
33,Hombre,3,0.67,Español,Secundaria,Formal,Urbana,Sierra,1,1,1,0,Propia,Madera/Esteras,1,9,3988.08,3032.3,0
46,Hombre,9,0.22,Español,Secundaria,Formal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,8,2596.4,2318.6,1
72,Hombre,6,2.99,Español,Primaria,Formal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,3,2530.71,2946.25,0
20,Hombre,1,1.14,Español,Superior,Informal,Urbana,Costa,1,0,0,0,Cedida,Adobe,1,18,9400.56,10640.57,0
54,Hombre,2,2.92,Español,Ninguno,Desempleado,Urbana,Selva,1,1,0,1,Alquilada,Adobe,1,0,761.82,844.17,1
34,Hombre,5,1.53,Español,Primaria,Informal,Urbana,Costa,1,1,0,0,Alquilada,Ladrillo/Cemento,1,1,1182.92,1016.18,1
75,Mujer,5,2.69,Español,Superior,Informal,Urbana,Sierra,1,1,1,1,Propia,Ladrillo/Cemento,1,20,6242.22,4869.35,0
59,Hombre,6,2.71,Español,Primaria,Formal,Urbana,Costa,1,0,0,1,Alquilada,Adobe,1,1,2767.3,2783.07,0
36,Mujer,7,1.19,Español,Primaria,Informal,Urbana,Costa,1,0,1,1,Propia,Ladrillo/Cemento,1,2,1603.15,1756.31,1
70,Hombre,7,2.36,Español,Superior,Informal,Urbana,Selva,1,0,0,0,Propia,Madera/Esteras,1,13,4987.9,5360.38,0
58,Hombre,3,2.46,Español,Ninguno,Formal,Urbana,Costa,0,0,1,1,Cedida,Adobe,1,0,2712.81,2779.01,0
76,Hombre,2,2.88,Español,Secundaria,Informal,Rural,Sierra,1,1,1,0,Propia,Ladrillo/Cemento,1,10,668.54,715.89,1
40,Hombre,9,2.01,Español,Ninguno,Informal,Urbana,Costa,0,1,0,1,Alquilada,Madera/Esteras,1,0,766.96,827.71,1
55,Mujer,6,0.65,Español,Secundaria,Informal,Rural,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,7,1364.92,1482.28,1
50,Hombre,3,0.73,Español,Superior,Informal,Rural,Costa,0,0,0,0,Alquilada,Ladrillo/Cemento,1,16,2438.9,2870.51,0
36,Hombre,5,1.87,Español,Superior,Informal,Rural,Selva,1,0,1,1,Propia,Adobe,1,15,2931.22,2882.08,0
72,Hombre,7,2.07,Español,Secundaria,Formal,Rural,Sierra,1,0,1,1,Alquilada,Ladrillo/Cemento,1,11,2466.26,2479.99,1
42,Hombre,8,1.33,Quechua,Superior,Informal,Urbana,Costa,1,0,0,0,Cedida,Adobe,1,17,2707.49,2667.47,1
67,Hombre,1,2.52,Español,Primaria,Formal,Urbana,Selva,1,0,0,1,Cedida,Ladrillo/Cemento,1,4,1904.85,2044.27,0
58,Hombre,5,2.33,Español,Primaria,Formal,Urbana,Costa,1,1,0,1,Cedida,Ladrillo/Cemento,1,6,2459.73,2708.21,0
77,Hombre,9,0.75,Español,Secundaria,Informal,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,10,4573.62,5265.25,0
26,Mujer,4,1.36,Español,Secundaria,Formal,Rural,Selva,1,1,0,0,Propia,Ladrillo/Cemento,1,9,3391.46,3828.24,0
57,Hombre,5,1.97,Español,Superior,Informal,Rural,Costa,1,0,0,0,Alquilada,Ladrillo/Cemento,1,12,4817.71,4032.74,0
72,Hombre,1,0.36,Español,Primaria,Informal,Rural,Costa,0,1,0,0,Propia,Ladrillo/Cemento,1,3,1821.72,1774.76,0
62,Hombre,6,0.84,Quechua,Primaria,Informal,Urbana,Costa,1,0,0,0,Propia,Ladrillo/Cemento,0,1,1366.96,1561.02,1
41,Hombre,4,1.8,Quechua,Primaria,Informal,Rural,Sierra,1,1,0,1,Propia,Adobe,1,5,1266.49,1519.22,1
51,Hombre,3,1.78,Español,Superior,Informal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,12,3495.86,3277.73,0
55,Hombre,4,2.34,Aymara,Secundaria,Formal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,7,4877.11,5235.76,0
76,Mujer,7,1.19,Español,Primaria,Informal,Rural,Costa,1,1,1,1,Cedida,Adobe,1,3,2353.93,1900.45,1
32,Hombre,3,2.57,Español,Superior,Informal,Urbana,Sierra,1,1,0,1,Alquilada,Adobe,0,15,2703.89,2914.55,0
32,Mujer,7,0.63,Español,Superior,Formal,Rural,Selva,1,1,0,1,Propia,Madera/Esteras,1,18,2284.05,2218.21,1
49,Hombre,7,2.09,Español,Secundaria,Informal,Urbana,Costa,0,1,1,1,Propia,Adobe,1,9,3467.29,2629.75,0
26,Hombre,2,1.03,Español,Secundaria,Formal,Rural,Selva,0,1,0,0,Propia,Adobe,1,7,1749.66,1329.41,0
64,Hombre,5,1.77,Español,Secundaria,Formal,Rural,Sierra,1,1,0,1,Alquilada,Ladrillo/Cemento,0,7,3311.52,3023.51,0
33,Hombre,7,1.14,Español,Superior,Informal,Urbana,Sierra,1,1,1,1,Cedida,Ladrillo/Cemento,1,20,4475.87,5177.56,0
61,Mujer,7,1.81,Español,Primaria,Formal,Urbana,Sierra,1,0,0,0,Propia,Adobe,1,5,2546.84,2789.4,1
66,Hombre,9,0.06,Español,Secundaria,Informal,Urbana,Selva,0,1,0,1,Propia,Ladrillo/Cemento,1,9,2576.87,2502.6,1
71,Hombre,7,1.93,Español,Superior,Desempleado,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,21,2359.12,1964.46,1
39,Hombre,6,0.71,Español,Primaria,Formal,Rural,Costa,0,1,0,0,Propia,Adobe,1,4,2465.64,2919.9,0
67,Hombre,5,1.63,Español,Superior,Informal,Urbana,Selva,1,1,1,1,Alquilada,Ladrillo/Cemento,1,15,4152.93,3334.54,0
22,Hombre,3,0.99,Español,Superior,Formal,Rural,Costa,1,0,1,1,Propia,Ladrillo/Cemento,1,18,4560.43,5199.88,0
77,Mujer,5,0.53,Español,Ninguno,Informal,Urbana,Costa,1,1,0,0,Alquilada,Ladrillo/Cemento,1,0,1320.64,1177.81,1
68,Hombre,6,2.72,Español,Ninguno,Formal,Urbana,Selva,1,0,0,1,Cedida,Adobe,1,0,2398.87,2609.79,1
73,Mujer,6,1.12,Español,Primaria,Informal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,2,981.2,1158.26,1
45,Mujer,4,2.65,Quechua,Primaria,Desempleado,Urbana,Sierra,1,0,1,1,Alquilada,Ladrillo/Cemento,1,3,556.15,496.29,1
30,Mujer,6,2.54,Quechua,Ninguno,Formal,Urbana,Selva,1,1,0,1,Cedida,Adobe,1,0,2010.55,1522.57,1
51,Hombre,1,0.31,Español,Superior,Informal,Urbana,Selva,1,1,1,1,Propia,Adobe,1,19,2431.05,2783.06,0
29,Mujer,3,0.48,Quechua,Secundaria,Formal,Urbana,Selva,1,1,0,1,Alquilada,Adobe,0,11,5446.18,4042.05,0
62,Hombre,3,1.04,Español,Ninguno,Informal,Rural,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,0,655.53,692.04,1
52,Hombre,8,2.53,Español,Primaria,Informal,Rural,Costa,1,1,1,1,Propia,Madera/Esteras,1,3,1014.47,840.14,1
69,Mujer,3,2.27,Quechua,Superior,Informal,Urbana,Costa,1,1,0,1,Propia,Adobe,1,21,2124.57,2510.69,0
30,Mujer,5,2.77,Español,Secundaria,Informal,Urbana,Selva,1,0,1,1,Propia,Madera/Esteras,1,10,1861.83,2212.71,1
32,Hombre,2,0.15,Español,Ninguno,Desempleado,Urbana,Sierra,1,1,0,1,Propia,Adobe,0,0,327.78,296.08,1
66,Hombre,5,0.01,Español,Ninguno,Formal,Urbana,Selva,0,1,1,1,Propia,Ladrillo/Cemento,1,0,1632.52,1867.29,1
49,Hombre,8,0.75,Español,Ninguno,Formal,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,0,0,1962.15,2137.69,1
35,Hombre,3,1.85,Español,Secundaria,Informal,Rural,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,8,1509.84,1071.62,0
19,Hombre,5,2.53,Español,Ninguno,Informal,Urbana,Sierra,1,1,1,1,Propia,Adobe,1,0,1115.15,799.91,1
48,Hombre,4,2.84,Español,Superior,Informal,Urbana,Selva,1,1,0,1,Alquilada,Ladrillo/Cemento,1,16,4545.58,4955.07,0
39,Mujer,4,1.52,Quechua,Secundaria,Formal,Urbana,Selva,1,1,1,1,Propia,Madera/Esteras,1,9,2153.58,1998.01,0
53,Mujer,8,0.6,Español,Ninguno,Informal,Urbana,Sierra,1,1,1,1,Propia,Adobe,1,0,720.17,785.51,1
74,Hombre,9,0.35,Aymara,Superior,Formal,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,13,7886.99,6973.73,0
55,Hombre,9,1.05,Español,Primaria,Formal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,5,1749.28,1980.2,1
54,Mujer,7,1.68,Español,Superior,Informal,Urbana,Selva,1,1,0,1,Alquilada,Adobe,0,16,1895.8,2048.85,1
52,Mujer,3,2.56,Español,Primaria,Informal,Urbana,Sierra,1,1,1,0,Propia,Ladrillo/Cemento,1,4,735.19,577.02,1
63,Hombre,7,1.75,Quechua,Secundaria,Formal,Urbana,Costa,0,0,1,1,Propia,Ladrillo/Cemento,1,7,4771.24,3757.53,0
19,Hombre,7,0.67,Español,Ninguno,Informal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,0,1126.15,900.31,1
60,Hombre,2,0.18,Quechua,Superior,Informal,Urbana,Costa,1,1,0,0,Propia,Adobe,1,18,2821.08,3086.8,0
42,Hombre,7,2.69,Quechua,Secundaria,Informal,Rural,Selva,0,1,0,1,Propia,Ladrillo/Cemento,1,11,838.86,833.78,1
24,Mujer,8,1.94,Español,Secundaria,Formal,Rural,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,8,5180.91,3783.27,0
27,Hombre,3,2.02,Quechua,Superior,Informal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,16,4765.11,4694.02,0
28,Hombre,1,2.12,Español,Superior,Formal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,15,10434.12,8576.05,0
20,Hombre,4,2.0,Español,Secundaria,Desempleado,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,10,1397.02,1103.41,1
74,Hombre,7,2.36,Español,Secundaria,Informal,Rural,Costa,1,0,0,1,Alquilada,Ladrillo/Cemento,1,11,2496.12,2199.92,1
57,Mujer,2,1.06,Español,Superior,Formal,Urbana,Sierra,1,0,0,1,Alquilada,Ladrillo/Cemento,1,12,7475.46,5509.44,0
32,Hombre,2,1.76,Español,Primaria,Informal,Urbana,Selva,1,1,0,1,Alquilada,Ladrillo/Cemento,1,1,1445.99,1730.85,0
62,Hombre,7,1.35,Quechua,Primaria,Formal,Urbana,Costa,1,1,1,1,Alquilada,Adobe,1,5,2402.35,2188.77,1
72,Hombre,1,2.71,Español,Superior,Desempleado,Urbana,Selva,1,1,1,1,Propia,Ladrillo/Cemento,1,18,1625.68,1780.53,0
77,Hombre,9,2.8,Español,Secundaria,Informal,Urbana,Costa,1,1,0,1,Cedida,Ladrillo/Cemento,1,10,2433.35,2769.0,1
18,Hombre,7,0.92,Español,Primaria,Informal,Urbana,Selva,0,1,0,0,Alquilada,Ladrillo/Cemento,1,3,1281.88,1068.69,1
52,Hombre,4,1.42,Español,Superior,Formal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,15,4580.93,4650.28,0
50,Hombre,7,0.19,Español,Secundaria,Informal,Rural,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,7,2179.75,2303.35,1
24,Hombre,5,2.69,Quechua,Primaria,Informal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,6,2870.08,2061.76,0
51,Hombre,4,1.42,Español,Primaria,Informal,Urbana,Selva,0,1,0,0,Cedida,Ladrillo/Cemento,1,2,1044.64,1055.07,1
71,Hombre,2,1.39,Quechua,Secundaria,Informal,Urbana,Sierra,1,0,0,1,Cedida,Adobe,1,11,1671.34,1893.54,0
54,Mujer,8,2.5,Español,Ninguno,Formal,Urbana,Costa,1,0,0,1,Alquilada,Ladrillo/Cemento,0,0,2062.58,2249.34,1
66,Hombre,2,1.86,Español,Secundaria,Informal,Urbana,Sierra,1,0,0,0,Propia,Adobe,0,9,2316.97,1927.52,0
71,Hombre,5,0.14,Quechua,Secundaria,Formal,Rural,Sierra,1,1,0,1,Alquilada,Adobe,1,9,4285.92,4178.85,0
29,Hombre,6,0.18,Español,Superior,Informal,Urbana,Sierra,0,1,0,1,Propia,Ladrillo/Cemento,1,20,2654.91,1912.96,0
26,Hombre,2,1.32,Español,Superior,Informal,Rural,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,21,3147.56,2649.15,0
50,Hombre,3,1.4,Español,Secundaria,Desempleado,Urbana,Selva,1,1,0,0,Propia,Madera/Esteras,0,10,2350.58,1742.77,0
43,Mujer,7,2.9,Español,Primaria,Informal,Urbana,Costa,0,1,0,1,Propia,Ladrillo/Cemento,1,1,2622.47,2237.17,1
79,Hombre,8,2.75,Español,Secundaria,Formal,Urbana,Costa,1,1,0,0,Cedida,Madera/Esteras,1,7,4629.81,3720.48,0
57,Hombre,2,0.93,Español,Ninguno,Informal,Urbana,Costa,1,1,0,1,Cedida,Ladrillo/Cemento,1,0,1083.13,860.4,0
52,Hombre,3,1.92,Español,Secundaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,11,4111.86,4331.76,0
29,Hombre,8,1.65,Español,Primaria,Formal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,1,5,1960.82,2183.82,1
55,Mujer,5,1.25,Español,Primaria,Informal,Rural,Sierra,0,0,0,1,Propia,Madera/Esteras,1,1,657.92,633.7,1
59,Hombre,3,0.48,Español,Secundaria,Formal,Urbana,Selva,1,0,0,1,Alquilada,Ladrillo/Cemento,1,8,3134.63,2575.47,0
48,Hombre,7,1.59,Español,Superior,Informal,Urbana,Costa,0,1,0,1,Alquilada,Ladrillo/Cemento,1,13,3944.35,2943.17,0
49,Hombre,3,1.51,Español,Secundaria,Formal,Urbana,Costa,1,0,0,1,Propia,Ladrillo/Cemento,0,10,3573.05,2900.4,0
76,Mujer,5,1.97,Quechua,Secundaria,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,7,3937.62,3515.16,0
34,Hombre,3,0.79,Quechua,Primaria,Informal,Urbana,Costa,1,1,0,0,Alquilada,Adobe,1,6,1235.08,956.17,0
39,Hombre,7,0.32,Español,Superior,Desempleado,Urbana,Costa,1,1,0,1,Alquilada,Ladrillo/Cemento,1,21,2119.29,1528.95,1
24,Hombre,7,0.4,Español,Secundaria,Informal,Urbana,Sierra,1,1,0,0,Propia,Adobe,1,7,3816.87,3089.15,0
50,Mujer,7,2.63,Español,Primaria,Formal,Urbana,Costa,1,1,1,1,Propia,Ladrillo/Cemento,1,4,2228.24,2504.44,1
58,Mujer,4,1.48,Español,Primaria,Informal,Rural,Selva,1,1,0,0,Cedida,Adobe,1,6,977.57,794.8,1
48,Hombre,6,1.91,Español,Primaria,Informal,Urbana,Costa,1,1,1,1,Alquilada,Ladrillo/Cemento,1,3,2632.24,1899.0,0
36,Mujer,7,2.17,Quechua,Secundaria,Informal,Urbana,Costa,1,1,1,1,Alquilada,Ladrillo/Cemento,1,7,1781.51,1337.3,1
45,Hombre,4,0.06,Español,Secundaria,Formal,Urbana,Sierra,1,0,0,1,Alquilada,Ladrillo/Cemento,1,11,3396.73,3992.97,0
79,Hombre,6,0.35,Español,Primaria,Informal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,1,2241.03,1605.38,1
63,Mujer,1,2.76,Español,Primaria,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,2,2970.43,3360.96,0
28,Mujer,7,1.31,Aymara,Ninguno,Informal,Urbana,Costa,1,1,1,1,Cedida,Adobe,1,0,1304.23,1078.7,1
23,Hombre,7,0.27,Español,Primaria,Informal,Urbana,Costa,1,0,1,1,Propia,Ladrillo/Cemento,0,3,1025.25,1217.12,1
69,Hombre,6,1.02,Español,Secundaria,Informal,Rural,Costa,1,0,0,1,Alquilada,Ladrillo/Cemento,1,11,4208.18,3916.66,0
31,Mujer,6,1.86,Español,Ninguno,Informal,Rural,Costa,1,0,0,0,Propia,Ladrillo/Cemento,1,0,869.62,835.35,1
44,Hombre,6,0.5,Español,Secundaria,Informal,Urbana,Sierra,1,1,0,1,Propia,Adobe,1,7,1296.16,1098.12,1
29,Hombre,8,1.13,Español,Primaria,Formal,Urbana,Selva,1,1,0,1,Propia,Madera/Esteras,1,5,2380.15,2848.13,1
55,Mujer,7,1.47,Español,Superior,Informal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,20,4574.98,3880.83,0
43,Hombre,7,1.23,Español,Primaria,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,4,2316.82,2488.89,1
71,Mujer,8,1.58,Español,Primaria,Informal,Urbana,Costa,0,1,1,1,Propia,Ladrillo/Cemento,1,3,1931.53,2283.5,1
69,Hombre,8,2.62,Español,Secundaria,Desempleado,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,7,1113.8,1263.78,1
25,Hombre,6,0.35,Español,Secundaria,Informal,Urbana,Sierra,1,0,1,0,Alquilada,Adobe,1,11,1335.57,1076.47,1
62,Mujer,9,0.16,Otra,Primaria,Informal,Urbana,Costa,0,0,0,0,Propia,Ladrillo/Cemento,1,1,2832.48,3085.88,1
40,Hombre,2,0.19,Español,Superior,Formal,Urbana,Costa,1,1,1,1,Propia,Adobe,1,16,5665.24,5833.25,0
76,Hombre,2,1.09,Español,Secundaria,Formal,Urbana,Selva,1,1,1,0,Alquilada,Ladrillo/Cemento,1,8,6141.81,5278.43,0
49,Hombre,8,1.04,Quechua,Secundaria,Informal,Urbana,Selva,1,1,1,1,Propia,Ladrillo/Cemento,1,11,723.07,734.49,1
38,Mujer,3,2.49,Español,Secundaria,Formal,Urbana,Costa,1,0,0,1,Cedida,Ladrillo/Cemento,1,10,5440.25,4635.04,0
48,Hombre,5,2.11,Español,Superior,Desempleado,Urbana,Costa,0,1,0,1,Propia,Ladrillo/Cemento,0,14,405.62,396.39,1
57,Hombre,9,0.43,Español,Secundaria,Informal,Urbana,Selva,1,1,1,1,Propia,Adobe,1,9,2142.58,1866.17,1
51,Mujer,1,2.21,Español,Secundaria,Formal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,11,8610.98,7650.49,0
44,Mujer,9,2.45,Quechua,Primaria,Formal,Urbana,Sierra,1,1,0,1,Propia,Adobe,1,2,3939.08,3375.61,0
37,Hombre,1,1.46,Español,Superior,Desempleado,Rural,Costa,1,0,1,1,Propia,Ladrillo/Cemento,1,15,1353.08,1032.55,0
43,Hombre,3,0.17,Español,Superior,Desempleado,Urbana,Costa,1,1,1,0,Alquilada,Madera/Esteras,1,17,1845.34,1747.12,0
43,Hombre,1,2.85,Español,Secundaria,Formal,Urbana,Selva,1,1,0,0,Propia,Ladrillo/Cemento,1,7,2812.14,2841.97,0
55,Hombre,9,0.51,Español,Secundaria,Formal,Urbana,Costa,0,0,0,1,Propia,Ladrillo/Cemento,1,8,4254.57,4950.29,0
78,Hombre,1,2.0,Español,Secundaria,Informal,Urbana,Sierra,1,1,0,1,Propia,Ladrillo/Cemento,1,9,1571.19,1248.9,0
47,Hombre,3,1.82,Español,Superior,Formal,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,21,9597.47,7455.27,0
39,Hombre,1,1.07,Español,Primaria,Formal,Urbana,Costa,1,1,0,1,Cedida,Adobe,1,5,3422.0,3065.63,0
38,Hombre,6,1.85,Español,Primaria,Informal,Urbana,Selva,0,1,0,1,Propia,Ladrillo/Cemento,1,4,684.31,691.4,1
64,Hombre,4,2.28,Español,Secundaria,Formal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,10,3309.34,2440.96,0
55,Hombre,9,0.94,Español,Secundaria,Informal,Urbana,Selva,1,1,1,1,Cedida,Ladrillo/Cemento,1,10,1150.89,1289.67,1
65,Mujer,3,2.06,Español,Secundaria,Informal,Urbana,Costa,1,1,1,0,Propia,Ladrillo/Cemento,1,9,6001.12,4665.51,0
47,Hombre,2,0.67,Quechua,Primaria,Formal,Urbana,Costa,1,1,1,0,Alquilada,Adobe,1,5,6902.69,6520.29,0
40,Hombre,2,2.53,Español,Superior,Formal,Urbana,Selva,1,1,0,0,Propia,Ladrillo/Cemento,0,15,8165.45,7179.07,0
44,Hombre,5,1.74,Quechua,Primaria,Informal,Urbana,Selva,1,1,0,1,Propia,Adobe,1,3,2352.66,2457.77,0
77,Hombre,4,1.01,Español,Primaria,Formal,Urbana,Sierra,0,1,0,1,Propia,Ladrillo/Cemento,1,5,1838.93,2024.47,0
22,Hombre,3,0.77,Español,Secundaria,Informal,Rural,Selva,1,1,0,0,Alquilada,Ladrillo/Cemento,1,10,1192.11,1271.5,1
33,Mujer,3,1.11,Español,Secundaria,Formal,Urbana,Sierra,1,1,0,1,Cedida,Madera/Esteras,1,9,2392.39,2306.8,0
50,Hombre,5,1.06,Español,Superior,Formal,Urbana,Sierra,1,1,0,0,Propia,Ladrillo/Cemento,1,14,7816.18,6271.93,0
22,Hombre,3,0.64,Español,Ninguno,Desempleado,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,0,0,1539.58,1540.77,0
79,Hombre,7,1.93,Español,Primaria,Informal,Urbana,Sierra,1,0,1,1,Propia,Ladrillo/Cemento,1,1,1796.49,1497.17,1
34,Hombre,2,0.36,Quechua,Primaria,Formal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,4,2882.77,2695.68,0
70,Mujer,8,0.1,Quechua,Secundaria,Informal,Rural,Costa,0,1,1,1,Propia,Ladrillo/Cemento,1,10,1448.79,1134.64,1
32,Hombre,8,0.94,Español,Superior,Informal,Urbana,Costa,1,1,0,1,Cedida,Ladrillo/Cemento,1,18,3609.95,3541.48,0
67,Hombre,1,1.23,Español,Secundaria,Informal,Urbana,Sierra,1,1,1,1,Alquilada,Ladrillo/Cemento,1,9,1713.69,1233.14,0
59,Hombre,4,0.51,Español,Primaria,Informal,Urbana,Costa,0,1,0,0,Alquilada,Ladrillo/Cemento,1,4,1566.58,1388.04,1
76,Hombre,6,0.39,Español,Primaria,Informal,Urbana,Costa,0,1,0,1,Alquilada,Adobe,1,2,2251.61,2379.69,1
20,Hombre,1,1.53,Español,Secundaria,Informal,Urbana,Sierra,1,0,0,1,Alquilada,Ladrillo/Cemento,1,8,2110.01,1852.88,0
42,Hombre,8,2.86,Aymara,Ninguno,Desempleado,Urbana,Costa,0,0,1,0,Propia,Ladrillo/Cemento,1,0,742.49,844.95,1
76,Hombre,1,2.23,Quechua,Superior,Informal,Urbana,Sierra,1,1,1,1,Alquilada,Ladrillo/Cemento,0,15,2208.61,2561.66,0
67,Hombre,8,1.21,Español,Secundaria,Informal,Urbana,Costa,1,1,0,0,Propia,Ladrillo/Cemento,1,7,3634.28,3124.38,0
51,Hombre,3,1.18,Español,Primaria,Formal,Urbana,Costa,1,1,0,1,Propia,Ladrillo/Cemento,1,4,1723.63,1927.74,0
18,Mujer,6,0.72,Español,Ninguno,Informal,Urbana,Costa,1,1,0,1,Propia,Adobe,1,0,914.61,828.2,1
76,Mujer,5,1.41,Español,Primaria,Informal,Urbana,Sierra,0,1,0,0,Propia,Ladrillo/Cemento,1,2,1286.14,1166.61,1
74,Mujer,7,1.39,Español,Primaria,Informal,Urbana,Selva,1,1,0,1,Propia,Ladrillo/Cemento,1,4,1204.83,1222.14,1
77,Hombre,2,0.09,Español,Superior,Formal,Urbana,Sierra,1,1,1,1,Propia,Adobe,1,16,7563.97,7653.72,0
